セキュリティ アナリストは、同社の WAF が適切に構成されていないことを発見しました。 メイン Web サーバーが侵害され、悪意のあるリクエストの 1 つで次のペイロードが検出されました。 (＆(objectclass=*)(objectclass=*))(&(objectclass=void)(type=admin)) この脆弱性を最も緩和するのは次のうちどれですか?,入力検証,ネットワーク侵入防止,データのエンコード,キャプチャ
ある中堅企業は、有害事象により、サーバーがクラッシュし、大規模な停電に見舞われる大変な業務障害が発生しました。今後この種の問題を防ぐために作成する必要があるのは、次のうちどれですか?,RTO,SLA,BIA,BCM
DevOps チームは、新しい課金システムをサポートする PaaS ソリューションとして、データベース、イベント駆動型サービス、および API ゲートウェイをデプロイ(展開)しました。 DevOps チームが実行する必要があるセキュリティ責任は次のうちどれですか?,ライフサイクル管理の一環としてサービスをアップグレードする,認証メカニズムを安全に構成する,オペレーティング システムのインフラストラクチャにパッチを適用する,サービスに対してポート スキャンを実行する
リスク戦略の一環として、企業はサイバーセキュリティ インシデントに対する保険の購入を検討しています。次のうち、この種のリスク対応を最もよく表しているのはどれですか?,リスク移転,リスク拒否,リスクの軽減,リスク回避
企業は、自社のワークロードをオンプレミスの IT インフラストラクチャからクラウドに移行したいと考えていますが、必要なすべての制御を実装することはできません。 次のうち、この実装に関連するリスクを最もよく説明しているのはどれですか?,ベンダーロックイン,ガバナンスの喪失,ベンダー ロックアウト,コンプライアンスリスク
"組織マットは、SaaS ソリューションを提供します。最近、顧客データの損失を伴うインシデントが発生しました。システムには、パフォーマンスと利用可能なリソースの監視を含む、自己回復のレベルがあります。 システムが問題を検出すると、自己修復プロセスがソフトウェアのPANを再起動することになっています。インシデントの間、自己修復システムがサービスを再起動しようとしたときに、すべてのサービスを再起動するためのデータ ドライブ上の利用可能なディスク領域が不十分でした。 自己修復システムは、一部のサービスが完全に再起動しなかったことを検出せず、システムが完全に機能していると宣言しました。次のうち、サイレント障害が発生した理由を最もよく表しているのはどれですか?	",ディスク使用率のアラームが、サービスの再起動に必要な値よりも高くなっています。,システム ログが時期尚早にローテーションされました。,自己修復クラスターのノード数は正常でした。,サービス再起動前の条件チェックが成功した。
法医学（フォレンジック）捜査官は、次のうちどの目的でコマンドを使用しますか。,失われたファイルの回復。,ディスクのクローン作成。,ネットワークでキャプチャされたパケットの分析。,メールアドレスなどの特徴を抽出する。
ある会社が新しいビデオカードをリリースしました。 供給が限られており、需要が高まっている為、攻撃者は自動化されたシステムを使い、同社のウェブストアを通じてデバイスを購入し、二次市場で転売しています。同社の対象顧客は不満を抱いています。 セキュリティ エンジニアは、Web ストアに CAPTCHA システムを実装して自動化されたシステムを通じて購入するビデオ カードの数を減らすことを提案しています。 次のうち、リスクのレベルを説明しているのはどれですか?,固有,緩和,残留,移転
最高情報責任者 (CIO) は、組織全体にエンタープライズ モビリティを実装したいと考えています。目標は、従業員が会社のリソースにアクセスできるようにすることです。ただし、CIO は、構成設定を強制しデータを管理し、会社所有のデバイスと個人のデバイスの両方を管理する機能を望んでいます。この目標を達成するために CIO が実装する必要があるのは、次のうちどれですか?,COPE,BYOD,CYOD,MDM
セキュリティ エンジニアは、従業員ユーザーの Web トラフィックを保護するために CASB（Cloud Access Security Broker） を実装する必要があります。重要な要件は、関連するイベント データを既存のオンプレミス インフラストラクチャ コンポーネントから収集し、CASB で消費してトラフィックの可視性を拡張する必要があることです。 このソリューションは、ネットワーク停止に夜間でも耐えられるものでなければならない。（ネットワークの停止に対して非常に回復力がある必要があります。）次のアーキテクチャ・コンポーネントのうち、どれが最も適していますか？,ログ収集モード,リバース プロキシ,AWAF,API モード
セキュリティ エンジニアは、次のような最近のデータ侵害インシデント後のイベントの記録を確認しています。• ハッカーが偵察を行い、同社のインターネットに接続された Web アプリケーション資産のフットプリントを残しました。• サードパーティ製ホラリーの脆弱性がハッカーによって悪用され、ローカル アカウントが侵害されました。• ハッカーは、アカウントの過剰な権限を利用してデータ ストアにアクセスし、検出されずにデータを盗み出しました。この種の攻撃が今後成功するのを防ぐのに役立つ最善の解決策は、次のうちどれですか?,セキュアWebゲートウェイ,ソフトウェア構成分析,ユーザー行動分析,Web アプリケーション ファイアウォール
米国に拠点を置く会社は、EU 市民の保険の詳細情報を保持しています。 EU 市民の個人、プライベート情報、および機密データを処理する際に遵守する必要があるのは、次のうちどれですか?,合法、公正、透明な処理の原則,個人データ消去要求の忘れられる権利の原則,否認防止と否認の原則,暗号化、難読化、およびデータマスキングの原則
組織は、OT ネットワーク内のシステムの自動化機能を研究しています。 セキュリティ アナリストは、安全なコーディング プラクティスの作成を支援したいと考えており、PLC(プログラマブル・ロジック・コントローラ) で使用されるプログラミング言語について学びたいと考えています。 次のプログラミング言語のうち、PLC に最も関連するのはどれですか?,Ladder logic,Rust,Python, Java
脆弱性評価エンドポイントは、最新の調査結果のレポートを生成しました。セキュリティ アナリストはレポートを確認し、対処する必要がある項目の優先リストを作成する必要があります。 リストをすばやく作成するためにアナリストが使用する必要があるのは、次のうちどれですか?,ビジネスインパクト評価,CVE の日付, CVSS スコア,OVAL
組織が ISO 27018 規格を満たすために必要なものは次のうちどれですか?,すべての Pll（個人情報） は暗号化する必要があります。,すべてのネットワーク トラフィックを検査する必要があります。,GDPR（General Data Protection Regulation） と同等の基準を満たす必要があります。,COBIT（Control Objectives for Information and related Technology） と同等の基準を満たす必要があります。
